id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
6417,56,249609,38666,696,142,347,48,346,42,285,24,56488.03
6423,183,288669,26443,1619,190,445,78,979,81,888,67,48410.15
6407,81,350963,22815,548,53,139,15,589,227,467,219,21427.12
6401,34,67710,11967,79,34,33,12,119,3,109,3,64561.39
6613,5,7,0,0,0,0,0,0,0,0,0,0
6418,71,82218,42964,226,166,104,103,61,59,36,51,13490.98
6408,202,206836,31030,241,182,166,132,925,91,895,91,46397.65
6414,98,310240,61823,841,368,398,122,350,128,304,113,43903.59
5133,32,130257,29348,263,166,104,65,130,24,113,19,56025.15
6151,90,239848,21694,456,125,164,28,132,25,87,5,50496.09
6409,50,154656,18045,297,11,94,11,188,0,155,0,71072.86
6420,118,350906,37055,1320,181,473,47,187,26,127,5,44530.7
5308,36,89449,22329,233,69,154,47,38,7,35,5,21566.14
6424,48,147557,10874,306,36,137,15,248,12,214,11,59484.24
6421,62,106648,27277,216,87,134,78,76,8,66,7,45781.36
6404,91,358292,24875,847,96,242,23,246,20,196,11,53214.75
5138,21,95081,5385,120,14,33,5,66,4,55,0,67010.59
5148,17,82382,2138,157,4,38,0,127,8,87,0,69192.88
1059,66,418,0,0,0,0,0,0,0,0,0,0
4338,26,38381,0,267,0,91,0,63,0,47,0,68421.84
6415,71,324234,56398,1191,246,516,133,175,30,152,24,51545.82
6422,108,239902,26094,1110,221,521,103,329,46,288,31,50132.15
6413,115,191531,52497,860,385,310,208,269,24,225,24,45641.58
6412,35,185469,15863,162,26,63,9,270,60,223,55,33968.18
6110,65,242302,26458,313,66,169,39,316,30,264,29,39184.34
6004,9,15624,0,0,0,0,0,15,0,11,0,87758.72
6406,61,276115,49147,627,213,249,38,1004,240,908,206,45582.69
6411,72,266089,36713,1232,232,464,67,258,46,219,30,56127.55
6485,76,101513,4470,257,8,119,6,133,2,110,2,62641.04
6612,106,76929,27710,237,109,77,60,111,13,80,13,9390.39
5121,56,191088,16285,463,33,130,2,148,8,93,4,41731.48
6410,109,312970,37904,1020,143,478,51,212,10,112,7,65933.7
6419,7,0,0,0,0,0,0,0,0,0,0,0
1060,8,208,0,0,0,0,0,0,0,0,0,0
6670,74,354719,43134,2110,311,729,146,453,23,408,17,11400.62
4483,7,2083,0,8,0,7,0,26,0,26,0,82320.01
6416,39,56112,0,59,0,37,0,77,0,45,0,57829.61
6479,8,4972,0,13,0,1,0,0,0,0,0,0
